timestamp,usdjpy
1971-07-02T00:00:00Z,357.4000000000
1971-07-06T00:00:00Z,357.4500000000
1971-07-07T00:00:00Z,357.4600000000
1971-07-08T00:00:00Z,357.4600000000
1971-07-09T00:00:00Z,357.4000000000
1971-07-12T00:00:00Z,357.4100000000
1971-07-13T00:00:00Z,357.4400000000
1971-07-14T00:00:00Z,357.4000000000
1971-07-15T00:00:00Z,357.4000000000
1971-07-16T00:00:00Z,357.4000000000
1971-07-19T00:00:00Z,357.3900000000
1971-07-20T00:00:00Z,357.3900000000
1971-07-21T00:00:00Z,357.4000000000
1971-07-22T00:00:00Z,357.3700000000
1971-07-23T00:00:00Z,357.3600000000
1971-07-26T00:00:00Z,357.4000000000
1971-07-27T00:00:00Z,357.3700000000
1971-07-28T00:00:00Z,357.4000000000
1971-07-29T00:00:00Z,357.4000000000
1971-07-30T00:00:00Z,357.3900000000
1971-08-02T00:00:00Z,357.4100000000
1971-08-03T00:00:00Z,357.3700000000
1971-08-04T00:00:00Z,357.3700000000
1971-08-05T00:00:00Z,357.3700000000
1971-08-06T00:00:00Z,357.3700000000
1971-08-09T00:00:00Z,357.3500000000
1971-08-10T00:00:00Z,357.3900000000
1971-08-11T00:00:00Z,357.3500000000
1971-08-12T00:00:00Z,357.4000000000
1971-08-13T00:00:00Z,357.3500000000
1971-08-31T00:00:00Z,339.8500000000
1971-09-01T00:00:00Z,341.0100000000
1971-09-02T00:00:00Z,338.9800000000
1971-09-03T00:00:00Z,340.1400000000
1971-09-07T00:00:00Z,339.7900000000
1971-09-08T00:00:00Z,339.3900000000
1971-09-09T00:00:00Z,339.0700000000
1971-09-10T00:00:00Z,338.8100000000
1971-09-13T00:00:00Z,338.9800000000
1971-09-14T00:00:00Z,338.2400000000
1971-09-15T00:00:00Z,338.4100000000
1971-09-16T00:00:00Z,337.8400000000
1971-09-17T00:00:00Z,337.9500000000
1971-09-20T00:00:00Z,337.2700000000
1971-09-21T00:00:00Z,337.3400000000
1971-09-22T00:00:00Z,337.4400000000
1971-09-23T00:00:00Z,337.2700000000
1971-09-24T00:00:00Z,336.9800000000
1971-09-27T00:00:00Z,336.2500000000
1971-09-28T00:00:00Z,336.3600000000
1971-09-29T00:00:00Z,335.5700000000
1971-09-30T00:00:00Z,335.3500000000
1971-10-01T00:00:00Z,333.3900000000
1971-10-04T00:00:00Z,333.1700000000
1971-10-05T00:00:00Z,333.1400000000
1971-10-06T00:00:00Z,332.6500000000
1971-10-07T00:00:00Z,332.6100000000
1971-10-08T00:00:00Z,332.3700000000
1971-10-12T00:00:00Z,330.5200000000
1971-10-13T00:00:00Z,331.4000000000
1971-10-14T00:00:00Z,330.8500000000
1971-10-15T00:00:00Z,330.5800000000
1971-10-18T00:00:00Z,329.6000000000
1971-10-19T00:00:00Z,330.8500000000
1971-10-20T00:00:00Z,331.0700000000
1971-10-21T00:00:00Z,330.7900000000
1971-10-22T00:00:00Z,330.3600000000
1971-10-26T00:00:00Z,329.0000000000
1971-10-27T00:00:00Z,329.5400000000
1971-10-28T00:00:00Z,329.7100000000
1971-10-29T00:00:00Z,329.5000000000
1971-11-01T00:00:00Z,329.4500000000
1971-11-03T00:00:00Z,329.5000000000
1971-11-04T00:00:00Z,330.8700000000
1971-11-05T00:00:00Z,329.1600000000
1971-11-08T00:00:00Z,329.2200000000
1971-11-09T00:00:00Z,329.1600000000
1971-11-10T00:00:00Z,329.1100000000
1971-11-11T00:00:00Z,329.1100000000
1971-11-12T00:00:00Z,329.4900000000
1971-11-15T00:00:00Z,328.7300000000
1971-11-16T00:00:00Z,328.6200000000
1971-11-17T00:00:00Z,328.8000000000
1971-11-18T00:00:00Z,328.6800000000
1971-11-19T00:00:00Z,328.4000000000
1971-11-22T00:00:00Z,328.4100000000
1971-11-23T00:00:00Z,328.1900000000
1971-11-24T00:00:00Z,328.0400000000
